MUNICIPIO,LEITOS_EXISTENTES,LATITUDE,LONGITUDE
APARECIDA D'OESTE,56,-20.4498109,-50.8808706
APARECIDA DE GOIANIA,5572,-16.8226769,-49.2452546
APARECIDA DO TABOADO,152,-20.0840304,-51.1013943
APERIBE,140,-21.6211928,-42.1028167
APIACA,10,-21.152272,-41.569297
APIACAS,128,-9.5678422,-57.394852
APIAI,204,-24.5076527,-48.8461582
APICUM-ACU,64,-1.5279295,-45.082278
APODI,284,-5.6631109,-37.796927
APORA,4,-11.6599747,-38.0794757
APORE,76,-18.9642193,-51.92804
APUCARANA,1244,-23.5525327,-51.4610764
APUI,172,-7.1940195,-59.8830192
APUIARES,52,-3.9460303,-39.4313298
AQUIDABA,128,-7.4567249,-73.3657645
AQUIDAUANA,688,-20.473969,-55.7821375
AQUIRAZ,732,-3.9063117,-38.387504
ARABUTA,96,-27.1587028,-52.1438142
ARACAGI,8,-6.8519969,-35.3835602
ARACAJU,10539,-10.9162061,-37.0774655
ARACAS,92,-12.2126783,-38.2006231
ARACATI,537,-4.558259,-37.767894
ARACATU,132,-14.4274236,-41.4604105
ARACATUBA,1988,-21.207992,-50.4390225
ARACI,192,-11.3390214,-38.9586849
ARACOIABA,328,-4.3702577,-38.8084313
ARACOIABA DA SERRA,57,-23.5045367,-47.6168158
ARACRUZ,564,-19.8245218,-40.2735025
ARACU,68,-0.813208,-64.791138
ARACUAI,336,-16.8484451,-42.0661868
ARAGARCAS,148,-15.8957166,-52.2514538
ARAGOIANIA,28,-16.9146388,-49.4499148
ARAGUACEMA,68,-8.8067391,-49.5560969
ARAGUACU,132,-12.928934,-49.823134
ARAGUAINA,2864,-7.193241,-48.2018597
ARAGUANA,68,-6.5799107,-48.6428482
ARAGUAPAZ,40,-15.0937927,-50.626417
ARAGUARI,2472,-18.6511256,-48.1933764
ARAGUATINS,100,-5.6529384,-48.1161923
ARAIOSES,476,-2.890914,-41.904993
ARAL MOREIRA,40,-22.951141,-55.6268421
ARAME,232,-4.8858769,-46.0102484
ARANDU,24,-23.1345103,-49.0545651
ARAPIRACA,5168,-9.754866,-36.661471
ARAPOEMA,116,-7.6575001,-49.0641484
ARAPONGAS,1882,-23.4152862,-51.4293961
ARAPORA,56,-18.4318188,-49.188313
ARAPOTI,154,-24.1457957,-49.8224605
ARAPUTANGA,76,-15.4710868,-58.346796
ARARA,68,-6.8271895,-35.7605703
ARARANGUA,616,-28.9348832,-49.4858389
ARARAQUARA,2314,-21.7886713,-48.1773096
ARARAS,1858,-22.3569192,-47.3838766
ARARENDA,116,-4.7504395,-40.8303611
ARARI,192,-3.4547602,-44.7772723
ARARIPE,176,-7.212861,-40.1359222
ARARIPINA,1016,-7.5768582,-40.5038509
ARARUAMA,712,-22.8733203,-42.3428897
ARARUNA,152,-23.9320308,-52.4976047
ARATIBA,144,-27.3955734,-52.3024325
ARATUBA,44,-4.4195958,-39.0463737
ARAUCARIA,332,-25.5861107,-49.4051209
ARAXA,1036,-19.6009149,-46.940923
ARCEBURGO,32,-21.364444,-46.939722
ARCOS,260,-20.282223,-45.539444
ARCOVERDE,880,-8.415192,-37.057748
AREADO,64,-21.3582771,-46.1476688
AREAL,84,-22.2314922,-43.1056264
AREALVA,128,-22.0301906,-48.9111936
AREIA,144,-6.9680243,-35.6994783
AREIA BRANCA,136,-4.9506652,-37.1263312
ARENAPOLIS,164,-14.460185,-56.8436668
ARENOPOLIS,56,-16.3859286,-51.55937
ARES,36,-6.1969216,-35.1642968
ARINOS,132,-15.917223,-46.106111
ARIPUANA,148,-10.175806,-59.4439663
ARIQUEMES,1328,-9.9076522,-63.033069
ARMACAO DOS BUZIOS,368,-22.7597805,-41.8875267
ARMAZEM,144,-28.2624996,-49.0190126
ARNEIROZ,84,-6.3235099,-40.1603859
AROAZES,24,-6.1109109,-41.7881792
